// ItemIndex	Sub Index	Sub Group	Group	Index	Model Path	Model File	Name	Rank	Kind A	Kind B	Type	Two Hands	Drop Level	Slot	Skill Index	Width	Height	Damage Min	Damage Max	Successful Blocking	Defense	Attack Speed	Walk Speed	Durability	Magic Durability	Magic Power	Combat Power	Attack Success Rate	Req Strength	Req Dexterity	Req Energy	Req Vitality	Req Command	Req Level	Item Value	Money	Set Attribute	Dark Wizard	Dark Knight	Fairy Elf	Magic Gladiator	Dark Lord	Summoner	Rage Fighter	Ice Resistance	Poison Resistance	Lightning Resistance	Fire Resistance	Earth Resistance	Wind Resistance	Water Resistance	Dump (Ném được ra ngoài)	Use (S�? dụng)	Transaction	Personal Store	Store Warehouse	Sell to NPC	Expensive Item	Repair	Overlap
10	10	0	0	10	"Data\Item\"	"sword11.bmd"	"Kiếm Ánh Sáng"	3	1	1	1	1	40	0	22	2	4	47	61	0	0	25	0	50	0	0	0	0	80	60	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
11	11	0	0	11	"Data\Item\"	"sword12.bmd"	"Kiếm Ma Thuật"	3	1	1	1	1	44	0	20	2	3	56	72	0	0	20	0	54	0	0	0	0	120	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
12	12	0	0	12	"Data\Item\"	"sword13.bmd"	"Thái Dương Kiếm"	3	1	1	1	1	56	0	19	2	3	73	98	0	0	25	0	66	0	0	0	0	140	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
13	13	0	0	13	"Data\Item\"	"sword14.bmd"	"Hỏa Đao"	2	1	1	1	0	48	0	22	1	3	48	56	0	0	30	0	43	0	0	0	0	70	70	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
14	14	0	0	14	"Data\Item\"	"sword15.bmd"	"Kiếm Điện"	5	1	1	1	0	59	0	22	1	3	59	67	0	0	30	0	50	0	0	0	0	90	50	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
15	15	0	0	15	"Data\Item\"	"sword16.bmd"	"Thiết Kiếm"	3	1	1	1	1	52	0	23	2	3	60	85	0	0	20	0	60	0	0	0	0	140	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
16	16	0	0	16	"Data\Item\"	"sword17.bmd"	"Kiếm Hủy Diệt"	6	1	1	1	0	82	0	22	1	4	82	90	0	0	35	0	84	0	0	0	0	160	60	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
17	17	0	0	17	"Data\Item\"	"sword18.bmd"	"Thiên Ma Kiếm"	5	1	1	1	1	104	0	23	2	4	128	153	0	0	40	0	89	0	0	0	0	180	50	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
18	18	0	0	18	"Data\Item\"	"sword19.bmd"	"Lôi Phong Đao"	5	1	2	1	1	105	0	23	2	3	140	168	0	0	40	0	86	0	0	0	0	180	50	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
19	19	0	0	19	"Data\Item\"	"sword20.bmd"	"Thiên T�? Kiếm"	8	1	1	6	0	86	0	22	1	4	220	230	0	0	45	0	168	0	0	38	0	140	50	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
20	20	0	0	20	"Data\Item\"	"sword21.bmd"	"Cuồng Phong Đao"	7	1	1	1	0	140	0	22	1	4	107	115	0	0	35	0	90	0	0	0	0	116	38	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
21	21	0	0	21	"Data\Item\"	"sword22.bmd"	"Đao Sinh Mệnh"	7	1	2	1	1	140	0	56	2	4	264	284	0	0	40	0	100	0	115	0	0	116	53	9	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
22	22	0	0	22	"Data\Item\"	"HDK_Sword.bmd"	"Đao Quyền Năng"	10	1	1	3	0	147	0	22	1	4	122	135	0	0	40	0	95	0	0	0	0	100	35	0	0	0	380	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
23	23	0	0	23	"Data\Item\"	"HDK_Sword2.bmd"	"Đao Hồng Long"	10	1	2	3	1	147	0	56	2	4	334	354	0	0	45	0	110	0	134	0	0	98	48	7	0	0	380	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
24	24	0	0	24	"Data\Item\"	"CW_Sword.bmd"	"�? Thiên Đao"	6	1	1	1	1	115	0	22	2	4	182	218	0	0	40	0	90	0	0	0	0	192	30	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
25	25	0	0	25	"Data\Item\"	"CW_Sword2.bmd"	"Hỏa Tinh Kiếm"	6	1	2	1	1	115	0	56	2	4	234	254	0	0	40	0	90	0	108	0	0	136	57	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
26	26	0	0	26	"Data\Item\"	"Sword_27.bmd"	"Hỏa Long Kiếm"	11	1	1	2	0	137	0	22	1	4	115	126	0	0	40	0	90	0	0	34	0	193	53	0	0	0	380	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
27	27	0	0	27	"Data\Item\"	"Sword_28.bmd"	"Bích Ngọc Kiếm"	11	1	1	2	0	133	0	22	1	4	91	99	0	0	35	0	90	0	0	30	0	53	176	0	0	0	380	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
28	28	0	0	28	"Data\Item\"	"Sword_29.bmd"	"Bá Vương Kiếm"	11	1	2	2	0	139	0	56	1	4	177	187	0	0	45	0	90	0	109	30	0	91	73	17	0	0	380	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
29	29	0	0	29	"Data\Item\"	"balhalla_sword.bmd"	"Âm Vong Đao"	0	1	1	2	0	149	0	22	1	4	109	116	0	0	35	0	80	0	0	42	0	49	162	0	0	0	400	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
30	30	0	0	30	"Data\Item\"	"asura.bmd"	"Thâ??n Kiê?�m Asura"	0	1	2	2	0	149	0	56	1	4	115	140	0	0	45	0	90	0	112	40	0	86	70	16	0	0	400	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
31	31	0	0	31	"Data\Item\"	"sword32.bmd"	"Ảo Ảnh Đao"	5	1	2	1	1	100	0	56	2	4	204	224	0	0	35	0	93	0	104	0	0	135	62	9	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
32	32	0	0	32	"Data\Item\"	"Sword33.bmd"	"Nắm đấm Địa Long"	5	1	3	1	0	52	0	260	1	2	52	58	0	0	25	0	65	0	0	0	0	85	35	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
33	33	0	0	33	"Data\Item\"	"Sword34.bmd"	"Nắm đấm Bạch H�?"	6	1	3	1	0	82	0	261	1	2	82	88	0	0	30	0	77	0	0	0	0	100	50	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
34	34	0	0	34	"Data\Item\"	"Sword35.bmd"	"Nắm đấm Quyền Lực"	7	1	3	1	0	105	0	260	1	2	95	101	0	0	35	0	86	0	0	0	0	120	60	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
35	35	0	0	35	"Data\Item\"	"Sword36.bmd"	"Vuốt Phượng Hoàng"	10	1	3	3	0	147	0	270	1	2	122	128	0	0	40	0	98	0	0	0	0	101	51	0	0	0	380	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
36	36	0	0	36	"Data\Item\"	"balhalla_sword.bmd"	"Kiếm Bão Táp"	11	1	1	2	0	149	0	22	1	4	129	144	0	0	40	0	90	0	0	46	0	182	50	0	0	0	400	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
37	37	0	0	37	"Data\Item\"	"blastbreak.bmd"	"Kiếm Băng Tinh"	11	1	1	2	1	149	0	23	2	4	163	216	0	0	30	0	130	0	0	55	0	182	50	0	0	0	400	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
41	41	0	0	41	"Data\Item\"	"cokcangki.bmd"	"Cuô?�c Pandora (hai tay)"	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0
44	44	0	0	44	"Data\Item\"	"blood_anglesword.bmd"	"Kiê?�m Phe?�p Huyê?�t Thâ??n"	0	14	2	1	0	150	0	56	1	4	142	152	0	0	45	0	100	0	112	35	0	120	72	17	0	0	400	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
48	48	0	0	48	"Data\Item\"	"sword17.bmd"	"[Phong Â?�n] Kiê?�m Hu?�y Diệt"	0	1	1	5	0	82	0	22	1	4	101	115	0	0	35	0	84	0	0	0	0	50	50	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
49	49	0	0	49	"Data\Item\"	"sword19.bmd"	"[Phong Â?�n] Lôi Phong Đao"	0	1	2	5	1	105	0	23	2	3	162	190	0	0	40	0	86	0	0	0	0	50	50	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
50	50	0	0	50	"Data\Item\"	"Sword34.bmd"	"[Phong Â?�n] Nắm đấm Bạch H�?"	0	1	3	5	0	82	0	261	1	2	87	95	0	0	30	0	77	0	0	0	0	50	50	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
51	51	0	0	51	"Data\Item\"	"absolute02_sword.bmd"	"Thiên T�? Kiếm (Cấp 2)"	9	1	1	8	0	200	0	22	1	4	265	275	0	0	45	0	170	0	0	70	0	60	30	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0
55	55	0	0	55	"Data\Item\"	"DarkangelMagicsword.bmd"	"Kiếm Hỏa Long (Cấp 2)"	9	14	2	1	0	160	0	56	1	4	157	167	0	0	45	0	100	0	118	45	0	120	72	17	0	0	400	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
60	60	0	0	60	"Data\Item\"	"sword41.bmd"	"Vuốt Thiên T�?"	8	1	3	6	0	100	0	270	1	3	121	130	0	0	35	0	160	0	0	50	0	68	23	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
61	61	0	0	61	"Data\Item\"	"sword42.bmd"	"Vuốt Thiên T�? (Cấp 2)"	9	1	3	8	0	200	0	270	1	3	136	147	0	0	35	0	160	0	0	84	0	60	22	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
512	0	2	1	0	"Data\Item\"	"axe01.bmd"	"Ri??u Nho??"	1	1	4	1	0	1	0	0	1	3	1	6	0	0	20	0	18	0	0	0	0	50	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
513	1	2	1	1	"Data\Item\"	"axe02.bmd"	"Ri??u Nhẹ"	1	1	4	1	0	4	0	0	1	3	4	9	0	0	30	0	20	0	0	0	0	70	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
514	2	2	1	2	"Data\Item\"	"axe03.bmd"	"Ri??u Hai Lươ?�i"	1	1	4	1	0	14	0	19	1	3	14	24	0	0	20	0	26	0	0	0	0	90	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
515	3	2	1	3	"Data\Item\"	"axe04.bmd"	"Ri??u Thợ Săn"	1	1	4	1	0	18	0	19	1	3	18	28	0	0	30	0	28	0	0	0	0	100	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
516	4	2	1	4	"Data\Item\"	"axe05.bmd"	"Ri??u Tiên Nư??"	1	1	4	1	0	26	0	0	1	3	26	38	0	0	40	0	32	0	0	0	0	50	70	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
517	5	2	1	5	"Data\Item\"	"axe06.bmd"	"Ri??u Chiê?�n"	2	1	4	1	1	30	0	19	2	3	36	44	0	0	20	0	36	0	0	0	0	120	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
518	6	2	1	6	"Data\Item\"	"axe07.bmd"	"Ri??u Lươ?�i Bạc"	2	1	4	1	1	34	0	19	2	3	38	50	0	0	30	0	44	0	0	0	0	130	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
519	7	2	1	7	"Data\Item\"	"axe08.bmd"	"Ri??u Lượi Va??ng"	3	1	4	1	1	46	0	19	2	3	54	67	0	0	25	0	55	0	0	0	0	140	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
520	8	2	1	8	"Data\Item\"	"axe09.bmd"	"Ri??u Ba?�n Nguyệt"	3	1	4	1	1	54	0	19	2	3	69	89	0	0	30	0	65	0	0	0	0	100	40	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1024	0	4	2	0	"Data\Item\"	"mace01.bmd"	"Chùy"	1	1	5	1	0	7	0	0	1	3	7	13	0	0	15	0	21	0	0	0	0	100	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1025	1	4	2	1	"Data\Item\"	"mace02.bmd"	"Chùy Gai"	2	1	5	1	0	13	0	19	1	3	13	22	0	0	15	0	25	0	0	0	0	100	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1026	2	4	2	2	"Data\Item\"	"mace03.bmd"	"Chùy Dây"	3	1	5	1	0	22	0	0	1	3	22	32	0	0	15	0	32	0	0	0	0	80	50	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1027	3	4	2	3	"Data\Item\"	"mace04.bmd"	"Búa Chiến"	1	1	5	1	1	38	0	19	2	3	45	56	0	0	15	0	50	0	0	0	0	150	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1028	4	4	2	4	"Data\Item\"	"mace05.bmd"	"Chùy Băng"	3	1	5	1	1	66	0	19	2	3	78	107	0	0	30	0	72	0	0	0	0	130	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1029	5	4	2	5	"Data\Item\"	"mace06.bmd"	"Kiếm Băng"	4	1	1	1	1	72	0	23	2	4	89	120	0	0	40	0	76	0	0	0	0	130	70	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1030	6	4	2	6	"Data\Item\"	"mace07.bmd"	"Rìu Hỏa Long"	4	1	5	7	1	75	0	23	2	4	102	130	0	0	35	0	80	0	0	0	0	140	50	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1031	7	4	2	7	"Data\Item\"	"mace08.bmd"	"Chùy Thánh N�?"	5	1	5	1	0	90	0	0	1	3	62	80	0	0	50	0	50	0	0	0	0	15	42	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1032	8	4	2	8	"Data\Item\"	"mace09.bmd"	"Q.Trượng Chiến"	1	1	6	1	0	54	0	66	1	3	41	52	0	0	45	0	40	0	3	0	0	80	17	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1033	9	4	2	9	"Data\Item\"	"mace10.bmd"	"Q.Trượng Thép"	2	1	6	1	0	72	0	66	1	3	57	68	0	0	45	0	45	0	7	0	0	87	18	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1034	10	4	2	10	"Data\Item\"	"mace11.bmd"	"Q.Trượng Bóng Tối"	3	1	6	1	0	82	0	66	1	4	74	85	0	0	45	0	65	0	10	0	0	100	21	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1035	11	4	2	11	"Data\Item\"	"mace12.bmd"	"Q.Trượng Kim Cương"	4	1	6	1	0	98	0	66	1	4	91	102	0	0	40	0	72	0	16	0	0	105	23	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1036	12	4	2	12	"Data\Item\"	"mace13.bmd"	"Q.Trượng Đại Vương"	6	1	6	1	0	140	0	66	1	4	108	120	0	0	40	0	84	0	47	0	0	90	20	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1037	13	4	2	13	"Data\Item\"	"saint.bmd"	"Q.Trượng Thiên T�?"	8	1	6	6	0	104	0	66	1	4	200	223	0	0	45	0	90	0	60	45	0	75	16	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
1038	14	4	2	14	"Data\Item\"	"HDK_Mace.bmd"	"Q.Trượng Thái Dương"	10	1	6	3	0	146	0	66	1	4	130	153	0	0	40	0	95	0	50	0	0	80	15	0	0	0	380	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1039	15	4	2	15	"Data\Item\"	"CW_Mace.bmd"	"Q.Trượng Tối Cao"	5	1	6	1	0	110	0	66	1	4	99	111	0	0	40	0	78	0	25	0	0	108	22	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1040	16	4	2	16	"Data\Item\"	"Mace_17.bmd"	"Chùy Băng Tinh"	5	1	5	2	0	121	0	0	1	3	106	146	0	0	50	0	80	0	0	0	0	27	19	0	0	0	380	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
1041	17	4	2	17	"Data\Item\"	"Mace_18.bmd"	"Lôi Phong Trượng"	11	1	6	2	0	135	0	66	1	4	114	132	0	0	40	0	90	0	50	44	0	119	24	0	0	0	380	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
1042	18	4	2	18	"Data\Item\"	"gamble_safter01.bmd"	"Q.Trượng Băng Giá"	7	1	6	1	0	147	0	66	1	4	112	124	0	0	40	0	86	0	55	0	0	87	20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1043	19	4	2	19	"Data\Item\"	"thunder_bolt.bmd"	"Chùy Vương"	6	1	6	2	0	149	0	66	1	4	127	154	0	0	40	0	78	0	70	52	0	111	22	0	0	0	400	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
1049	25	4	2	25	"Data\Item\"	"absolute_septer.bmd"	"Q.Trượng Thiên T�? (Cấp 2)"	9	1	6	8	0	200	0	66	1	4	331	341	0	0	45	0	170	0	120	93	0	75	16	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0
1536	0	6	3	0	"Data\Item\"	"spear01.bmd"	"Thương A?�nh Sa?�ng"	1	1	7	1	1	42	0	22	2	4	50	63	0	0	25	0	56	0	0	0	0	60	70	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1537	1	6	3	1	"Data\Item\"	"spear02.bmd"	"Gia?�o"	1	1	7	1	1	23	0	0	2	4	30	41	0	0	30	0	42	0	0	0	0	70	50	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1538	2	6	3	2	"Data\Item\"	"spear03.bmd"	"Thương Rô??ng"	1	1	7	1	1	15	0	0	2	4	21	33	0	0	30	0	34	0	0	0	0	70	50	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1539	3	6	3	3	"Data\Item\"	"spear04.bmd"	"Đinh Ba"	1	1	7	1	1	29	0	0	2	4	35	43	0	0	25	0	44	0	0	0	0	90	30	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1540	4	6	3	4	"Data\Item\"	"spear05.bmd"	"Xa?? Gia?�o"	1	1	7	1	1	46	0	20	2	4	58	80	0	0	20	0	58	0	0	0	0	90	30	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1541	5	6	3	5	"Data\Item\"	"spear06.bmd"	"Gia?�o Hai Lươ?�i"	2	1	7	1	1	13	0	0	2	4	19	31	0	0	30	0	38	0	0	0	0	70	50	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1542	6	6	3	6	"Data\Item\"	"spear07.bmd"	"Ki?�ch"	1	1	7	1	1	19	0	0	2	4	25	35	0	0	30	0	40	0	0	0	0	70	50	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1543	7	6	3	7	"Data\Item\"	"spear08.bmd"	"Ki?�ch Hai Đâ??u"	1	1	7	1	1	37	0	22	2	4	42	54	0	0	30	0	54	0	0	0	0	80	50	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1544	8	6	3	8	"Data\Item\"	"spear09.bmd"	"Lươ?�i Ha?�i"	3	1	7	1	1	54	0	22	2	4	71	92	0	0	25	0	68	0	0	0	0	90	50	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
1545	9	6	3	9	"Data\Item\"	"spear10.bmd"	"Lươ?�i Ha?�i Tư?? Thâ??n Balrog"	4	1	7	1	1	63	0	22	2	4	76	102	0	0	25	0	74	0	0	0	0	80	50	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0
